hodnota,ps_kod,vuzemi_kod,rok,ps_txt,ps0_txt,vuzemi_txt
2,C00,3034,2017,Zhoubný novotvar rtu,Novotvary (C00 - D48),Jihočeský kraj
2,C00,3115,2017,Zhoubný novotvar rtu,Novotvary (C00 - D48),Jihomoravský kraj
1,C00,3069,2017,Zhoubný novotvar rtu,Novotvary (C00 - D48),Ústecký kraj
1,C12,3042,2017,Zhoubný novotvar pyriformního sinu,Novotvary (C00 - D48),Plzeňský kraj
1,C12,3107,2017,Zhoubný novotvar pyriformního sinu,Novotvary (C00 - D48),Kraj Vysočina
4,C12,3026,2017,Zhoubný novotvar pyriformního sinu,Novotvary (C00 - D48),Středočeský kraj
1,C12,3085,2017,Zhoubný novotvar pyriformního sinu,Novotvary (C00 - D48),Královéhradecký kraj
1,C12,3018,2017,Zhoubný novotvar pyriformního sinu,Novotvary (C00 - D48),Hlavní město Praha
1,C12,3093,2017,Zhoubný novotvar pyriformního sinu,Novotvary (C00 - D48),Pardubický kraj
2,C12,3131,2017,Zhoubný novotvar pyriformního sinu,Novotvary (C00 - D48),Zlínský kraj
3,C12,3115,2017,Zhoubný novotvar pyriformního sinu,Novotvary (C00 - D48),Jihomoravský kraj
2,C12,3077,2017,Zhoubný novotvar pyriformního sinu,Novotvary (C00 - D48),Liberecký kraj
108,C18,3042,2017,Zhoubný novotvar tlustého střeva,Novotvary (C00 - D48),Plzeňský kraj
90,C18,3107,2017,Zhoubný novotvar tlustého střeva,Novotvary (C00 - D48),Kraj Vysočina
238,C18,3026,2017,Zhoubný novotvar tlustého střeva,Novotvary (C00 - D48),Středočeský kraj
97,C18,3085,2017,Zhoubný novotvar tlustého střeva,Novotvary (C00 - D48),Královéhradecký kraj
215,C18,3018,2017,Zhoubný novotvar tlustého střeva,Novotvary (C00 - D48),Hlavní město Praha
51,C18,3051,2017,Zhoubný novotvar tlustého střeva,Novotvary (C00 - D48),Karlovarský kraj
234,C18,3140,2017,Zhoubný novotvar tlustého střeva,Novotvary (C00 - D48),Moravskoslezský kraj
92,C18,3093,2017,Zhoubný novotvar tlustého střeva,Novotvary (C00 - D48),Pardubický kraj
120,C18,3131,2017,Zhoubný novotvar tlustého střeva,Novotvary (C00 - D48),Zlínský kraj
148,C18,3034,2017,Zhoubný novotvar tlustého střeva,Novotvary (C00 - D48),Jihočeský kraj
239,C18,3115,2017,Zhoubný novotvar tlustého střeva,Novotvary (C00 - D48),Jihomoravský kraj
145,C18,3123,2017,Zhoubný novotvar tlustého střeva,Novotvary (C00 - D48),Olomoucký kraj
195,C18,3069,2017,Zhoubný novotvar tlustého střeva,Novotvary (C00 - D48),Ústecký kraj
91,C18,3077,2017,Zhoubný novotvar tlustého střeva,Novotvary (C00 - D48),Liberecký kraj
289,C34,3042,2017,Zhoubný novotvar průdušky - bronchu a plíce,Novotvary (C00 - D48),Plzeňský kraj
223,C34,3107,2017,Zhoubný novotvar průdušky - bronchu a plíce,Novotvary (C00 - D48),Kraj Vysočina
737,C34,3026,2017,Zhoubný novotvar průdušky - bronchu a plíce,Novotvary (C00 - D48),Středočeský kraj
294,C34,3085,2017,Zhoubný novotvar průdušky - bronchu a plíce,Novotvary (C00 - D48),Královéhradecký kraj
649,C34,3018,2017,Zhoubný novotvar průdušky - bronchu a plíce,Novotvary (C00 - D48),Hlavní město Praha
185,C34,3051,2017,Zhoubný novotvar průdušky - bronchu a plíce,Novotvary (C00 - D48),Karlovarský kraj
629,C34,3140,2017,Zhoubný novotvar průdušky - bronchu a plíce,Novotvary (C00 - D48),Moravskoslezský kraj
266,C34,3093,2017,Zhoubný novotvar průdušky - bronchu a plíce,Novotvary (C00 - D48),Pardubický kraj
203,C34,3131,2017,Zhoubný novotvar průdušky - bronchu a plíce,Novotvary (C00 - D48),Zlínský kraj
322,C34,3034,2017,Zhoubný novotvar průdušky - bronchu a plíce,Novotvary (C00 - D48),Jihočeský kraj
496,C34,3115,2017,Zhoubný novotvar průdušky - bronchu a plíce,Novotvary (C00 - D48),Jihomoravský kraj
297,C34,3123,2017,Zhoubný novotvar průdušky - bronchu a plíce,Novotvary (C00 - D48),Olomoucký kraj
608,C34,3069,2017,Zhoubný novotvar průdušky - bronchu a plíce,Novotvary (C00 - D48),Ústecký kraj
249,C34,3077,2017,Zhoubný novotvar průdušky - bronchu a plíce,Novotvary (C00 - D48),Liberecký kraj
84,C61,3042,2017,Zhoubný novotvar předstojné žlázy - prostaty,Novotvary (C00 - D48),Plzeňský kraj
67,C61,3107,2017,Zhoubný novotvar předstojné žlázy - prostaty,Novotvary (C00 - D48),Kraj Vysočina
162,C61,3026,2017,Zhoubný novotvar předstojné žlázy - prostaty,Novotvary (C00 - D48),Středočeský kraj
75,C61,3085,2017,Zhoubný novotvar předstojné žlázy - prostaty,Novotvary (C00 - D48),Královéhradecký kraj
180,C61,3018,2017,Zhoubný novotvar předstojné žlázy - prostaty,Novotvary (C00 - D48),Hlavní město Praha
45,C61,3051,2017,Zhoubný novotvar předstojné žlázy - prostaty,Novotvary (C00 - D48),Karlovarský kraj
141,C61,3140,2017,Zhoubný novotvar předstojné žlázy - prostaty,Novotvary (C00 - D48),Moravskoslezský kraj
56,C61,3093,2017,Zhoubný novotvar předstojné žlázy - prostaty,Novotvary (C00 - D48),Pardubický kraj
76,C61,3131,2017,Zhoubný novotvar předstojné žlázy - prostaty,Novotvary (C00 - D48),Zlínský kraj
87,C61,3034,2017,Zhoubný novotvar předstojné žlázy - prostaty,Novotvary (C00 - D48),Jihočeský kraj
152,C61,3115,2017,Zhoubný novotvar předstojné žlázy - prostaty,Novotvary (C00 - D48),Jihomoravský kraj
78,C61,3123,2017,Zhoubný novotvar předstojné žlázy - prostaty,Novotvary (C00 - D48),Olomoucký kraj
114,C61,3069,2017,Zhoubný novotvar předstojné žlázy - prostaty,Novotvary (C00 - D48),Ústecký kraj
55,C61,3077,2017,Zhoubný novotvar předstojné žlázy - prostaty,Novotvary (C00 - D48),Liberecký kraj
67,C64,3042,2017,Zhoubný novotvar ledviny mimo pánvičku,Novotvary (C00 - D48),Plzeňský kraj
56,C64,3107,2017,Zhoubný novotvar ledviny mimo pánvičku,Novotvary (C00 - D48),Kraj Vysočina
149,C64,3026,2017,Zhoubný novotvar ledviny mimo pánvičku,Novotvary (C00 - D48),Středočeský kraj
34,C64,3085,2017,Zhoubný novotvar ledviny mimo pánvičku,Novotvary (C00 - D48),Královéhradecký kraj
114,C64,3018,2017,Zhoubný novotvar ledviny mimo pánvičku,Novotvary (C00 - D48),Hlavní město Praha
38,C64,3051,2017,Zhoubný novotvar ledviny mimo pánvičku,Novotvary (C00 - D48),Karlovarský kraj
104,C64,3140,2017,Zhoubný novotvar ledviny mimo pánvičku,Novotvary (C00 - D48),Moravskoslezský kraj
42,C64,3093,2017,Zhoubný novotvar ledviny mimo pánvičku,Novotvary (C00 - D48),Pardubický kraj
49,C64,3131,2017,Zhoubný novotvar ledviny mimo pánvičku,Novotvary (C00 - D48),Zlínský kraj
85,C64,3034,2017,Zhoubný novotvar ledviny mimo pánvičku,Novotvary (C00 - D48),Jihočeský kraj
100,C64,3115,2017,Zhoubný novotvar ledviny mimo pánvičku,Novotvary (C00 - D48),Jihomoravský kraj
63,C64,3123,2017,Zhoubný novotvar ledviny mimo pánvičku,Novotvary (C00 - D48),Olomoucký kraj
85,C64,3069,2017,Zhoubný novotvar ledviny mimo pánvičku,Novotvary (C00 - D48),Ústecký kraj
40,C64,3077,2017,Zhoubný novotvar ledviny mimo pánvičku,Novotvary (C00 - D48),Liberecký kraj
4,C65,3042,2017,Zhoubný novotvar ledvinné pánvičky,Novotvary (C00 - D48),Plzeňský kraj
5,C65,3107,2017,Zhoubný novotvar ledvinné pánvičky,Novotvary (C00 - D48),Kraj Vysočina
7,C65,3026,2017,Zhoubný novotvar ledvinné pánvičky,Novotvary (C00 - D48),Středočeský kraj
3,C65,3085,2017,Zhoubný novotvar ledvinné pánvičky,Novotvary (C00 - D48),Královéhradecký kraj
16,C65,3018,2017,Zhoubný novotvar ledvinné pánvičky,Novotvary (C00 - D48),Hlavní město Praha
6,C65,3051,2017,Zhoubný novotvar ledvinné pánvičky,Novotvary (C00 - D48),Karlovarský kraj
11,C65,3140,2017,Zhoubný novotvar ledvinné pánvičky,Novotvary (C00 - D48),Moravskoslezský kraj
6,C65,3093,2017,Zhoubný novotvar ledvinné pánvičky,Novotvary (C00 - D48),Pardubický kraj
7,C65,3131,2017,Zhoubný novotvar ledvinné pánvičky,Novotvary (C00 - D48),Zlínský kraj
5,C65,3034,2017,Zhoubný novotvar ledvinné pánvičky,Novotvary (C00 - D48),Jihočeský kraj
14,C65,3115,2017,Zhoubný novotvar ledvinné pánvičky,Novotvary (C00 - D48),Jihomoravský kraj
3,C65,3123,2017,Zhoubný novotvar ledvinné pánvičky,Novotvary (C00 - D48),Olomoucký kraj
6,C65,3069,2017,Zhoubný novotvar ledvinné pánvičky,Novotvary (C00 - D48),Ústecký kraj
3,C65,3077,2017,Zhoubný novotvar ledvinné pánvičky,Novotvary (C00 - D48),Liberecký kraj
1,C70,3026,2017,Zhoubný novotvar mozkomíšních plen,Novotvary (C00 - D48),Středočeský kraj
3,C70,3085,2017,Zhoubný novotvar mozkomíšních plen,Novotvary (C00 - D48),Královéhradecký kraj
1,C70,3018,2017,Zhoubný novotvar mozkomíšních plen,Novotvary (C00 - D48),Hlavní město Praha
2,C70,3140,2017,Zhoubný novotvar mozkomíšních plen,Novotvary (C00 - D48),Moravskoslezský kraj
2,C70,3093,2017,Zhoubný novotvar mozkomíšních plen,Novotvary (C00 - D48),Pardubický kraj
1,C70,3115,2017,Zhoubný novotvar mozkomíšních plen,Novotvary (C00 - D48),Jihomoravský kraj
1,C70,3123,2017,Zhoubný novotvar mozkomíšních plen,Novotvary (C00 - D48),Olomoucký kraj
2,C70,3077,2017,Zhoubný novotvar mozkomíšních plen,Novotvary (C00 - D48),Liberecký kraj
41,C71,3042,2017,Zhoubný novotvar mozku,Novotvary (C00 - D48),Plzeňský kraj
34,C71,3107,2017,Zhoubný novotvar mozku,Novotvary (C00 - D48),Kraj Vysočina
77,C71,3026,2017,Zhoubný novotvar mozku,Novotvary (C00 - D48),Středočeský kraj
37,C71,3085,2017,Zhoubný novotvar mozku,Novotvary (C00 - D48),Královéhradecký kraj
73,C71,3018,2017,Zhoubný novotvar mozku,Novotvary (C00 - D48),Hlavní město Praha
24,C71,3051,2017,Zhoubný novotvar mozku,Novotvary (C00 - D48),Karlovarský kraj
74,C71,3140,2017,Zhoubný novotvar mozku,Novotvary (C00 - D48),Moravskoslezský kraj
34,C71,3093,2017,Zhoubný novotvar mozku,Novotvary (C00 - D48),Pardubický kraj
30,C71,3131,2017,Zhoubný novotvar mozku,Novotvary (C00 - D48),Zlínský kraj
41,C71,3034,2017,Zhoubný novotvar mozku,Novotvary (C00 - D48),Jihočeský kraj
70,C71,3115,2017,Zhoubný novotvar mozku,Novotvary (C00 - D48),Jihomoravský kraj
42,C71,3123,2017,Zhoubný novotvar mozku,Novotvary (C00 - D48),Olomoucký kraj
49,C71,3069,2017,Zhoubný novotvar mozku,Novotvary (C00 - D48),Ústecký kraj
24,C71,3077,2017,Zhoubný novotvar mozku,Novotvary (C00 - D48),Liberecký kraj
2,C81,3042,2017,Hodgkinův lymfom,Novotvary (C00 - D48),Plzeňský kraj
2,C81,3107,2017,Hodgkinův lymfom,Novotvary (C00 - D48),Kraj Vysočina
9,C81,3026,2017,Hodgkinův lymfom,Novotvary (C00 - D48),Středočeský kraj
1,C81,3085,2017,Hodgkinův lymfom,Novotvary (C00 - D48),Královéhradecký kraj
7,C81,3018,2017,Hodgkinův lymfom,Novotvary (C00 - D48),Hlavní město Praha
1,C81,3051,2017,Hodgkinův lymfom,Novotvary (C00 - D48),Karlovarský kraj
7,C81,3140,2017,Hodgkinův lymfom,Novotvary (C00 - D48),Moravskoslezský kraj
3,C81,3093,2017,Hodgkinův lymfom,Novotvary (C00 - D48),Pardubický kraj
2,C81,3131,2017,Hodgkinův lymfom,Novotvary (C00 - D48),Zlínský kraj
3,C81,3034,2017,Hodgkinův lymfom,Novotvary (C00 - D48),Jihočeský kraj
3,C81,3115,2017,Hodgkinův lymfom,Novotvary (C00 - D48),Jihomoravský kraj
5,C81,3123,2017,Hodgkinův lymfom,Novotvary (C00 - D48),Olomoucký kraj
6,C81,3069,2017,Hodgkinův lymfom,Novotvary (C00 - D48),Ústecký kraj
2,C81,3077,2017,Hodgkinův lymfom,Novotvary (C00 - D48),Liberecký kraj
6,C85,3042,2017,"Non-Hodgkinův lymfom, jiných a neurčených typů",Novotvary (C00 - D48),Plzeňský kraj
5,C85,3107,2017,"Non-Hodgkinův lymfom, jiných a neurčených typů",Novotvary (C00 - D48),Kraj Vysočina
23,C85,3026,2017,"Non-Hodgkinův lymfom, jiných a neurčených typů",Novotvary (C00 - D48),Středočeský kraj
8,C85,3085,2017,"Non-Hodgkinův lymfom, jiných a neurčených typů",Novotvary (C00 - D48),Královéhradecký kraj
22,C85,3018,2017,"Non-Hodgkinův lymfom, jiných a neurčených typů",Novotvary (C00 - D48),Hlavní město Praha
4,C85,3051,2017,"Non-Hodgkinův lymfom, jiných a neurčených typů",Novotvary (C00 - D48),Karlovarský kraj
16,C85,3140,2017,"Non-Hodgkinův lymfom, jiných a neurčených typů",Novotvary (C00 - D48),Moravskoslezský kraj
6,C85,3093,2017,"Non-Hodgkinův lymfom, jiných a neurčených typů",Novotvary (C00 - D48),Pardubický kraj
11,C85,3131,2017,"Non-Hodgkinův lymfom, jiných a neurčených typů",Novotvary (C00 - D48),Zlínský kraj
6,C85,3034,2017,"Non-Hodgkinův lymfom, jiných a neurčených typů",Novotvary (C00 - D48),Jihočeský kraj
17,C85,3115,2017,"Non-Hodgkinův lymfom, jiných a neurčených typů",Novotvary (C00 - D48),Jihomoravský kraj
7,C85,3123,2017,"Non-Hodgkinův lymfom, jiných a neurčených typů",Novotvary (C00 - D48),Olomoucký kraj
9,C85,3069,2017,"Non-Hodgkinův lymfom, jiných a neurčených typů",Novotvary (C00 - D48),Ústecký kraj
15,C85,3077,2017,"Non-Hodgkinův lymfom, jiných a neurčených typů",Novotvary (C00 - D48),Liberecký kraj
28,C90,3042,2017,Mnohočetný myelom a plazmocytární novotvary,Novotvary (C00 - D48),Plzeňský kraj
20,C90,3107,2017,Mnohočetný myelom a plazmocytární novotvary,Novotvary (C00 - D48),Kraj Vysočina
45,C90,3026,2017,Mnohočetný myelom a plazmocytární novotvary,Novotvary (C00 - D48),Středočeský kraj
13,C90,3085,2017,Mnohočetný myelom a plazmocytární novotvary,Novotvary (C00 - D48),Královéhradecký kraj
57,C90,3018,2017,Mnohočetný myelom a plazmocytární novotvary,Novotvary (C00 - D48),Hlavní město Praha
12,C90,3051,2017,Mnohočetný myelom a plazmocytární novotvary,Novotvary (C00 - D48),Karlovarský kraj
30,C90,3140,2017,Mnohočetný myelom a plazmocytární novotvary,Novotvary (C00 - D48),Moravskoslezský kraj
17,C90,3093,2017,Mnohočetný myelom a plazmocytární novotvary,Novotvary (C00 - D48),Pardubický kraj
24,C90,3131,2017,Mnohočetný myelom a plazmocytární novotvary,Novotvary (C00 - D48),Zlínský kraj
22,C90,3034,2017,Mnohočetný myelom a plazmocytární novotvary,Novotvary (C00 - D48),Jihočeský kraj
45,C90,3115,2017,Mnohočetný myelom a plazmocytární novotvary,Novotvary (C00 - D48),Jihomoravský kraj
30,C90,3123,2017,Mnohočetný myelom a plazmocytární novotvary,Novotvary (C00 - D48),Olomoucký kraj
31,C90,3069,2017,Mnohočetný myelom a plazmocytární novotvary,Novotvary (C00 - D48),Ústecký kraj
13,C90,3077,2017,Mnohočetný myelom a plazmocytární novotvary,Novotvary (C00 - D48),Liberecký kraj
1,D32,3042,2017,Nezhoubný novotvar mozkomíšních plen,Novotvary (C00 - D48),Plzeňský kraj
1,D32,3107,2017,Nezhoubný novotvar mozkomíšních plen,Novotvary (C00 - D48),Kraj Vysočina
1,D32,3026,2017,Nezhoubný novotvar mozkomíšních plen,Novotvary (C00 - D48),Středočeský kraj
1,D32,3085,2017,Nezhoubný novotvar mozkomíšních plen,Novotvary (C00 - D48),Královéhradecký kraj
1,D32,3051,2017,Nezhoubný novotvar mozkomíšních plen,Novotvary (C00 - D48),Karlovarský kraj
1,D32,3140,2017,Nezhoubný novotvar mozkomíšních plen,Novotvary (C00 - D48),Moravskoslezský kraj
1,D32,3115,2017,Nezhoubný novotvar mozkomíšních plen,Novotvary (C00 - D48),Jihomoravský kraj
2,D32,3123,2017,Nezhoubný novotvar mozkomíšních plen,Novotvary (C00 - D48),Olomoucký kraj
1,D32,3069,2017,Nezhoubný novotvar mozkomíšních plen,Novotvary (C00 - D48),Ústecký kraj
3,D38,3042,2017,Novotvar nejist. n.neznámého chování střed. ucha a dých. a nitrohr.or.,Novotvary (C00 - D48),Plzeňský kraj
2,D38,3107,2017,Novotvar nejist. n.neznámého chování střed. ucha a dých. a nitrohr.or.,Novotvary (C00 - D48),Kraj Vysočina
2,D38,3026,2017,Novotvar nejist. n.neznámého chování střed. ucha a dých. a nitrohr.or.,Novotvary (C00 - D48),Středočeský kraj
1,D38,3085,2017,Novotvar nejist. n.neznámého chování střed. ucha a dých. a nitrohr.or.,Novotvary (C00 - D48),Královéhradecký kraj
2,D38,3018,2017,Novotvar nejist. n.neznámého chování střed. ucha a dých. a nitrohr.or.,Novotvary (C00 - D48),Hlavní město Praha
2,D38,3051,2017,Novotvar nejist. n.neznámého chování střed. ucha a dých. a nitrohr.or.,Novotvary (C00 - D48),Karlovarský kraj
12,D38,3140,2017,Novotvar nejist. n.neznámého chování střed. ucha a dých. a nitrohr.or.,Novotvary (C00 - D48),Moravskoslezský kraj
1,D38,3093,2017,Novotvar nejist. n.neznámého chování střed. ucha a dých. a nitrohr.or.,Novotvary (C00 - D48),Pardubický kraj
6,D38,3131,2017,Novotvar nejist. n.neznámého chování střed. ucha a dých. a nitrohr.or.,Novotvary (C00 - D48),Zlínský kraj
5,D38,3034,2017,Novotvar nejist. n.neznámého chování střed. ucha a dých. a nitrohr.or.,Novotvary (C00 - D48),Jihočeský kraj
7,D38,3115,2017,Novotvar nejist. n.neznámého chování střed. ucha a dých. a nitrohr.or.,Novotvary (C00 - D48),Jihomoravský kraj
2,D38,3123,2017,Novotvar nejist. n.neznámého chování střed. ucha a dých. a nitrohr.or.,Novotvary (C00 - D48),Olomoucký kraj
3,D38,3069,2017,Novotvar nejist. n.neznámého chování střed. ucha a dých. a nitrohr.or.,Novotvary (C00 - D48),Ústecký kraj
1,D38,3077,2017,Novotvar nejist. n.neznámého chování střed. ucha a dých. a nitrohr.or.,Novotvary (C00 - D48),Liberecký kraj
2,D59,3115,2017,Získané hemolytické anemie,"Nemoci krve, krvetvorných orgánů a některé poruchy týkající se mechanismu imunity (D50 - D89)",Jihomoravský kraj
2,D59,3069,2017,Získané hemolytické anemie,"Nemoci krve, krvetvorných orgánů a některé poruchy týkající se mechanismu imunity (D50 - D89)",Ústecký kraj
1,E21,3042,2017,Hyperparatyreóza a jiné nemoci příšítných tělísek,"Nemoci endokrinní, výživy a přeměny látek (E00 - E90)",Plzeňský kraj
1,E21,3085,2017,Hyperparatyreóza a jiné nemoci příšítných tělísek,"Nemoci endokrinní, výživy a přeměny látek (E00 - E90)",Královéhradecký kraj
2,E21,3115,2017,Hyperparatyreóza a jiné nemoci příšítných tělísek,"Nemoci endokrinní, výživy a přeměny látek (E00 - E90)",Jihomoravský kraj
1,E74,3115,2017,Jiné poruchy metabolizmu uhlovodanů,"Nemoci endokrinní, výživy a přeměny látek (E00 - E90)",Jihomoravský kraj
1,E76,3140,2017,Poruchy metabolizmu glykosaminoglykanu,"Nemoci endokrinní, výživy a přeměny látek (E00 - E90)",Moravskoslezský kraj
1,E76,3131,2017,Poruchy metabolizmu glykosaminoglykanu,"Nemoci endokrinní, výživy a přeměny látek (E00 - E90)",Zlínský kraj
5,E78,3107,2017,Poruchy metabolizmu lipoproteinů a jiné Iipidemie,"Nemoci endokrinní, výživy a přeměny látek (E00 - E90)",Kraj Vysočina
2,E78,3026,2017,Poruchy metabolizmu lipoproteinů a jiné Iipidemie,"Nemoci endokrinní, výživy a přeměny látek (E00 - E90)",Středočeský kraj
2,E78,3085,2017,Poruchy metabolizmu lipoproteinů a jiné Iipidemie,"Nemoci endokrinní, výživy a přeměny látek (E00 - E90)",Královéhradecký kraj
2,E78,3018,2017,Poruchy metabolizmu lipoproteinů a jiné Iipidemie,"Nemoci endokrinní, výživy a přeměny látek (E00 - E90)",Hlavní město Praha
2,E78,3051,2017,Poruchy metabolizmu lipoproteinů a jiné Iipidemie,"Nemoci endokrinní, výživy a přeměny látek (E00 - E90)",Karlovarský kraj
3,E78,3140,2017,Poruchy metabolizmu lipoproteinů a jiné Iipidemie,"Nemoci endokrinní, výživy a přeměny látek (E00 - E90)",Moravskoslezský kraj
1,E78,3093,2017,Poruchy metabolizmu lipoproteinů a jiné Iipidemie,"Nemoci endokrinní, výživy a přeměny látek (E00 - E90)",Pardubický kraj
5,E78,3131,2017,Poruchy metabolizmu lipoproteinů a jiné Iipidemie,"Nemoci endokrinní, výživy a přeměny látek (E00 - E90)",Zlínský kraj
1,E78,3034,2017,Poruchy metabolizmu lipoproteinů a jiné Iipidemie,"Nemoci endokrinní, výživy a přeměny látek (E00 - E90)",Jihočeský kraj
16,E78,3115,2017,Poruchy metabolizmu lipoproteinů a jiné Iipidemie,"Nemoci endokrinní, výživy a přeměny látek (E00 - E90)",Jihomoravský kraj
2,E78,3123,2017,Poruchy metabolizmu lipoproteinů a jiné Iipidemie,"Nemoci endokrinní, výživy a přeměny látek (E00 - E90)",Olomoucký kraj
7,E78,3069,2017,Poruchy metabolizmu lipoproteinů a jiné Iipidemie,"Nemoci endokrinní, výživy a přeměny látek (E00 - E90)",Ústecký kraj
1,E78,3077,2017,Poruchy metabolizmu lipoproteinů a jiné Iipidemie,"Nemoci endokrinní, výživy a přeměny látek (E00 - E90)",Liberecký kraj
1,E84,3107,2017,Cystická fibróza,"Nemoci endokrinní, výživy a přeměny látek (E00 - E90)",Kraj Vysočina
1,E84,3026,2017,Cystická fibróza,"Nemoci endokrinní, výživy a přeměny látek (E00 - E90)",Středočeský kraj
1,E84,3085,2017,Cystická fibróza,"Nemoci endokrinní, výživy a přeměny látek (E00 - E90)",Královéhradecký kraj
3,E84,3140,2017,Cystická fibróza,"Nemoci endokrinní, výživy a přeměny látek (E00 - E90)",Moravskoslezský kraj
1,E84,3093,2017,Cystická fibróza,"Nemoci endokrinní, výživy a přeměny látek (E00 - E90)",Pardubický kraj
2,E84,3069,2017,Cystická fibróza,"Nemoci endokrinní, výživy a přeměny látek (E00 - E90)",Ústecký kraj
6,F10,3042,2017,Poruchy způsobené alkoholem,Poruchy duševní a poruchy chování (F00 - F99),Plzeňský kraj
8,F10,3107,2017,Poruchy způsobené alkoholem,Poruchy duševní a poruchy chování (F00 - F99),Kraj Vysočina
11,F10,3026,2017,Poruchy způsobené alkoholem,Poruchy duševní a poruchy chování (F00 - F99),Středočeský kraj
4,F10,3085,2017,Poruchy způsobené alkoholem,Poruchy duševní a poruchy chování (F00 - F99),Královéhradecký kraj
3,F10,3018,2017,Poruchy způsobené alkoholem,Poruchy duševní a poruchy chování (F00 - F99),Hlavní město Praha
5,F10,3051,2017,Poruchy způsobené alkoholem,Poruchy duševní a poruchy chování (F00 - F99),Karlovarský kraj
26,F10,3140,2017,Poruchy způsobené alkoholem,Poruchy duševní a poruchy chování (F00 - F99),Moravskoslezský kraj
3,F10,3093,2017,Poruchy způsobené alkoholem,Poruchy duševní a poruchy chování (F00 - F99),Pardubický kraj
22,F10,3131,2017,Poruchy způsobené alkoholem,Poruchy duševní a poruchy chování (F00 - F99),Zlínský kraj
